deviation_id,spec_clause,spec_document,spec_value_text,spec_condition,submittal_document,submittal_value_text,submittal_condition,expected_verdict,delta_percent,reasoning
DEV_001,MECH-3.4.2,Mechanical Specification Division 23,>=500 TR,@35°C ambient,Vertiv CentraVac product cut sheet,1688 kW,,NON_CONFORMANCE,-4.0,"1688 kW converts to approximately 480 TR, which is 4% under the 500 TR minimum at the specified ambient condition."
DEV_002,DIV-16 §16.1.2,,NEMA 4X (IP66 minimum),,Schneider Electric ATS submittal,NEMA 4 (IP65),,NON_CONFORMANCE,,"NEMA 4 (IP65) does not meet the IP66 requirement. While both are weather-tight, IP66 requires protection against heavy seas and high-pressure jets; IP65 does not."
DEV_003,ELEC-2.8.1,,not less than 20 minutes,"@25°C ambient, @full load",Vertiv UPS submittal,20 minutes,not stated,INSUFFICIENT_DATA,,The requirement is conditional on '@25°C ambient' and '@full load'. The submittal value is unconditioned. We cannot verify compliance without these parameters stated explicitly.
DEV_004,,TIA-942 Tier III power train requirement,"Two independent generators, each capable of carrying full IT load (2500 kVA each minimum)",,Project schedule,One 2500 kVA generator,,NON_CONFORMANCE,,"N+1 redundancy means two independent generators. One generator, regardless of capacity, is N (no redundancy). Tier III mandates N+1."
DEV_005,MECH-3.4.3,,>=6.2 EER (IPLV),,"Trane Sintesis product cut sheet, page 12",6.0 EER,,NON_CONFORMANCE,-3.2,"6.0 EER is 3.2% below the 6.2 EER minimum. While seemingly close, IPLV is a standard efficiency metric and the spec is explicit."
DEV_006,ELEC-4.2.1,,Coordination study demonstrating proper breaker selectivity,,Vendor single-line diagram (SLD) package,"SLD only; coordination study deferred ('available upon request, not included in this package')",,INSUFFICIENT_DATA,,The spec requires the coordination study to be submitted as part of the electrical design package. A promise to provide it later is not compliance.
DEV_007,,,250 kW,@0.9 PF minimum,UPS vendor submittal,250 kVA,PF not stated,INSUFFICIENT_DATA,,"At 0.9 PF, 250 kVA UPS delivers 250 x 0.9 = 225 kW, 10% below the required 250 kW. To deliver 250 kW at 0.9 PF requires a UPS rated >=278 kVA minimum. Submittal does not state PF or actual kW output."
DEV_008,,TIA-942 Tier III cooling redundancy (2N),Two independent chilled water loops (any one loop can cool the entire facility),,Chilled water piping plan,"Dual loops from single header, no isolation",,NON_CONFORMANCE,,"Without isolation, both loops fail together if the header fails. True redundancy requires independent chiller units and separate headers, or at minimum isolation valves such that one loop can operate in isolation."
DEV_009,QUAL-2.3,,"certificate of compliance, test reports for the equipment, and warranty documentation",,Chiller vendor submittal,"product cut sheet, warranty (missing: certificate of compliance, test reports)",,INSUFFICIENT_DATA,,Submittal is incomplete. Certificate of compliance and test reports are contractually required and are not included.
DEV_010,,,<=82 dB(A),"@1 m, full load",Vertiv submittal,84 dB(A),,NON_CONFORMANCE,,"84 dB(A) exceeds the 82 dB(A) specification by 2 dB. While seemingly small, 2 dB is a ~58% increase in acoustic intensity and is perceptually loud."
DEV_011,,,<=2.8 mm/s RMS,,CMS (Condition Monitoring System) baseline measurement,3.1 mm/s RMS,,NON_CONFORMANCE,,3.1 mm/s exceeds the 2.8 mm/s limit. ISO 10816 guidance for Class II machines suggests this level indicates 'unsatisfactory' condition. Escalation path required.
DEV_012,,,>=3.5 W/m·K,,,3.2 W/m·K,,NON_CONFORMANCE,,3.2 W/m·K is below the 3.5 W/m·K minimum. This degrades heat transfer and increases die temperature by ~2-3°C under load.
DEV_013,,,IEC 60332-1 Cat A (non-propagating within 1 m),,,IEC 60332-1 Cat B (flame propagates 2-3 m),,NON_CONFORMANCE,,Category B is lower than Category A. Category B cable supports flame propagation for longer distance. Tier III fire safety demands Category A in sensitive zones.
DEV_014,,,">=100,000 hours (MTBF)",,Vendor datasheet,"95,000 hours",,NON_CONFORMANCE,-5,"95,000 hours is 5% below the 100,000-hour minimum. While close, the spec is explicit and MTBF is a contractual performance metric."
DEV_015,,,delivery within 16 weeks,,Vendor quote,"standard lead time 18 weeks, expedite available at 15% premium",,NON_CONFORMANCE,,Standard lead time (18 weeks) exceeds the 16-week requirement. Expediting is a cost adder and was not requested in the specification.
